Item Code,Item Description,Serial Number,Delivery Number,Shipment Date,Customer Number,Customer Name,Stat Group 1,Stat Group 2
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500023,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500022,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500010,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500020,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500028,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500012,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500014,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500024,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500007,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500005,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500002,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500006,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500003,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500008,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500011,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500001,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500000,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500004,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500009,365001810SDI00000005,10/9/2018,36510,UK Site,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400002,SD-181794,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400003,SD-192605,3/21/2019,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400004,SD-192983,4/1/2019,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400005,SD-180765,10/7/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400007,SD-180390,9/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400008,SD-181981,11/23/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400011,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400011,SD-197472,8/12/2019,C003734,Selecta-DE,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400012,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400012,SD-190675,1/22/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400013,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400013,SD-196117,6/27/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400014,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400015,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400015,SD-190674,1/22/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400016,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400016,SD-191220,2/5/2019,C003368,Selecta-FR,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400017,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400018,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400018,SD-193792,4/26/2019,C002379,Selecta NL,INT,OTR
SV-0370,Relocation Fee - International,KSK400018,SD-2210378,7/22/2022,C002379,Selecta NL,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400019,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400019,SD-190676,1/22/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400020,SD-180343,9/18/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400020,SD-191267,2/6/2019,C003388,Selecta-ES,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400021,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400021,SD-199864,10/17/2019,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400021,SD-2216437,11/3/2022,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400022,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400022,SD-2301006,1/18/2023,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400023,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400024,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400024,SD-196918,7/25/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400025,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400025,SD-194866,9/12/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400026,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400026,SD-198539,9/10/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400027,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400028,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0251,Inventory Unit Stage,KSK400028,SD-1910023,10/22/2019,C003734,Selecta-DE,INT,OTR
SV-0370,Relocation Fee - International,KSK400028,SD-2201013,1/26/2022,C003734,Selecta-DE,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400029,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400029,SD-1911373,12/4/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400030,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400030,SD-194191,5/8/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400031,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400031,SD-194990,6/3/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400032,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400032,SD-197262,9/12/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400033,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400033,SD-2215904,10/25/2022,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400034,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400035,SD-181793,11/13/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400036,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400037,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400038,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400039,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400039,SD-198246,9/3/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400040,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400040,SD-198036,9/13/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400041,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400041_1,SD-191866,2/26/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400042,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400042,SD-194190,5/8/2019,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400042,SD-2218798,12/15/2022,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400043,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400043,SD-194189,5/8/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400044,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400044,SD-197840,9/13/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400045,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400045,SD-192611,3/21/2019,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400045,SD-2008547,10/8/2020,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400045_1,SD-2217627,11/23/2022,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400046,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400046,SD-192494,3/18/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400047,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400047,SD-197841,9/13/2019,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400048,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400049,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
GEN3-SWISS,Gen3 Selecta Televend,KSK400050,SD-181917,11/20/2018,C001353,Selecta-CH,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400050,SD-191390,2/11/2019,C001353,Selecta-CH,INT,OTR
SV-0370,Relocation Fee - International,KSK400050,SD-2218330,12/6/2022,C001353,Selecta-CH,INT,OTR
RT-2000,365 POS System w/MSR,KSK4249,SD-2207675,6/7/2022,C003217,Elior North America,INDEP,OTR
SV-0217,Relocation Fee - Indep Excl ,KSK4850,SD-2109025,8/26/2021,C000269,VEND PRO,INDEP,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500000,SD-190910,1/28/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500000,SD-181514,11/5/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5000007,SD-190737,1/23/2019,C002363,Connect Vending Ltd,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500001,SD-191059,1/30/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500002,SD-190743,1/23/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500002,SD-181909,11/19/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500003,SD-190744,1/23/2019,C002391,Selecta UK Limited,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500003,SD-182136,11/29/2018,C002391,Selecta UK Limited,INT,OTR
SV-0371,Partial Data Move - Intl,KSK500003,SD-2200051,1/3/2022,C002391,Selecta UK Limited,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500004,SD-190744,1/23/2019,C002391,Selecta UK Limited,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500004,SD-182135,11/29/2018,C002391,Selecta UK Limited,INT,OTR
SV-0371,Partial Data Move - Intl,KSK500004,SD-2200058,1/3/2022,C002391,Selecta UK Limited,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500005,SD-190747,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500005,SD-190747,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500005inv,SD-190671,1/22/2019,C000777,Selecta-IT,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500006,SD-190748,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500006,SD-190748,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500006inv,SD-190670,1/22/2019,C000777,Selecta-IT,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500007,SD-195945,6/25/2019,C002363,Connect Vending Ltd,INT,OTR
SV-0215,Relocation Fee,KSK500007,SD-2005241,6/23/2020,C002363,Connect Vending Ltd,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500008,SD-190861,1/28/2019,C002391,Selecta UK Limited,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500008,SD-190672,1/22/2019,C002391,Selecta UK Limited,INT,OTR
SV-0370,Relocation Fee - International,KSK500008,SD-195265,6/10/2019,C002391,Selecta UK Limited,INT,OTR
SV-0371,Partial Data Move - Intl,KSK500008,SD-2114485,12/28/2021,C002391,Selecta UK Limited,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500009,SD-182292,12/4/2018,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500009,SD-182292,12/4/2018,C000777,Selecta-IT,INT,OTR
SV-0370,Relocation Fee - International,KSK500009,SD-2208612,6/23/2022,C000777,Selecta-IT,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500010,SD-190745,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500010,SD-190745,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500010relo,SD-182313,12/4/2018,C000777,Selecta-IT,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500011,SD-190746,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500011,SD-190746,1/23/2019,C000777,Selecta-IT,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500011inv,SD-190669,1/22/2019,C000777,Selecta-IT,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500012,SD-190742,1/23/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500012,SD-190673,1/22/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500013,SD-195965,6/25/2019,C002363,Connect Vending Ltd,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500013,SD-191389,2/11/2019,C001885,Selecta-UK,INT,OTR
SV-0370,Relocation Fee - International,KSK500013,SD-195135,6/6/2019,C002363,Connect Vending Ltd,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500014,SD-194614,5/22/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500014,SD-191078,1/31/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500015,SD-190741,1/23/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500015inv,SD-190668,1/22/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500016,SD-195958,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500016,SD-191810,2/22/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500016-1,SD-194978,6/3/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500017,SD-194613,5/22/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500017,SD-191079,1/31/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500018,SD-195947,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500018,SD-191080,1/31/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500019,SD-194615,5/22/2019,C002363,Connect Vending Ltd,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500019,SD-191624,2/18/2019,C002363,Connect Vending Ltd,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500020,SD-2001410,2/10/2020,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500020,SD-191649,2/18/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500021,SD-194616,5/22/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500021,SD-192074,3/5/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500022,SD-195960,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500022,SD-195741,6/19/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500024,SD-195948,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500024,SD-194187,5/8/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500025,SD-192788,3/27/2019,C003485,Orba Informatique,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500026,SD-195952,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500026,SD-194188,5/8/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500027,SD-197014,7/29/2019,C003638,Balwall Limited t/a Crave Store,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500028,SD-195964,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500028,SD-195543,6/14/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500029,SD-195959,6/25/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK500029,SD-195876,6/24/2019,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5006,SD-194322,5/13/2019,C003609,Automated Transactions S.L. ,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5009,SD-195260,6/10/2019,C001885,Selecta-UK,INT,OTR
SV-0370,Relocation Fee - International,KSK5013,SD-2010617,12/7/2020,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5019,SD-198071,8/27/2019,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5023,SD-181615,11/7/2018,C002371,S&N PRODUCTS LTD,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5023,SD-181208,10/25/2018,C002371,S&N PRODUCTS LTD,INT,OTR
SV-0371,Partial Data Move - Intl,KSK5023,SD-2000577,1/20/2020,C004056,CSG Quick Vend Limited,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5024,SD-198075,8/27/2019,C001885,Selecta-UK,INT,OTR
SV-0370,Relocation Fee - International,KSK5025,SD-2105062,5/19/2021,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5027,SD-181428,11/1/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5027,SD-181022,10/17/2018,C001885,Selecta-UK,INT,OTR
SV-0371,Partial Data Move - Intl,KSK5046,SD-2114497,12/28/2021,C002391,Selecta UK Limited,INT,OTR
SV-0371,Partial Data Move - Intl,KSK5047,SD-2114396,12/27/2021,C002391,Selecta UK Limited,INT,OTR
SV-0371,Partial Data Move - Intl,KSK5049,SD-2114492,12/28/2021,C002391,Selecta UK Limited,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5050,SD-181428,11/1/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5050,SD-181009,10/17/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5051,SD-181428,11/1/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5051,SD-181306,10/29/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5052,SD-181611,11/7/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5052,SD-180428,9/21/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5053,SD-181611,11/7/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5053,SD-180792,10/4/2018,C002379,Selecta NL,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5054,SD-181613,11/7/2018,C002379,Selecta NL,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5054,SD-190872,1/28/2019,C000777,Selecta-IT,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5055,SD-181612,11/7/2018,C002363,Connect Vending Ltd,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5055,SD-180920,10/15/2018,C002363,Connect Vending Ltd,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5056,SD-181428,11/1/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5056,SD-181019,10/17/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5057,SD-181611,11/7/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5057,SD-180617,10/1/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5058,SD-181611,11/7/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5058,SD-180872,10/12/2018,C001885,Selecta-UK,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK5059,SD-181611,11/7/2018,C001885,Selecta-UK,INT,OTR
SV-0369,Inventory Unit Stage - Intl,KSK5059,SD-181046,10/18/2018,C001885,Selecta-UK,INT,OTR
